config_id,min_merit_score,min_price_delta_cents,big_scam_min_price_delta_cents,evenly_matched_max_abs_ml,split,n_bets,wins,losses,pushes,profit,roi
mm2.0-mp5.0-bs80-e110,2.0,5.0,80,110,valid,316,158,153,5,257.87,0.83
mm2.0-mp5.0-bs80-e120,2.0,5.0,80,120,train,1713,904,788,21,4330.21,2.56
mm2.0-mp5.0-bs80-e120,2.0,5.0,80,120,valid,313,158,150,5,522.98,1.7
mm2.0-mp5.0-bs80-e130,2.0,5.0,80,130,train,1684,887,776,21,4034.05,2.43
mm2.0-mp5.0-bs80-e130,2.0,5.0,80,130,valid,308,151,152,5,-208.14,-0.69
mm2.0-mp5.0-bs80-e140,2.0,5.0,80,140,train,1669,866,782,21,1743.17,1.06
mm2.0-mp5.0-bs80-e140,2.0,5.0,80,140,valid,308,151,152,5,-318.89,-1.05
mm2.0-mp5.0-bs100-e110,2.0,5.0,100,110,train,1715,895,799,21,2283.04,1.35
mm2.0-mp5.0-bs100-e110,2.0,5.0,100,110,valid,307,154,148,5,330.21,1.09
mm2.0-mp5.0-bs100-e120,2.0,5.0,100,120,train,1664,882,761,21,4692.22,2.86
mm2.0-mp5.0-bs100-e120,2.0,5.0,100,120,valid,304,154,145,5,595.32,1.99
mm2.0-mp5.0-bs100-e130,2.0,5.0,100,130,train,1635,865,749,21,4396.06,2.72
mm2.0-mp5.0-bs100-e130,2.0,5.0,100,130,valid,299,147,147,5,-135.8,-0.46
mm2.0-mp5.0-bs100-e140,2.0,5.0,100,140,train,1620,844,755,21,2105.18,1.32
mm2.0-mp5.0-bs100-e140,2.0,5.0,100,140,valid,299,147,147,5,-246.55,-0.84
mm2.0-mp10.0-bs40-e110,2.0,10.0,40,110,train,1861,962,878,21,1126.23,0.61
mm2.0-mp10.0-bs40-e110,2.0,10.0,40,110,valid,344,171,168,5,426.86,1.26
mm2.0-mp10.0-bs40-e120,2.0,10.0,40,120,train,1812,950,841,21,3611.62,2.02
mm2.0-mp10.0-bs40-e120,2.0,10.0,40,120,valid,341,171,165,5,691.97,2.06
mm2.0-mp10.0-bs40-e130,2.0,10.0,40,130,train,1785,934,830,21,3337.46,1.89
mm2.0-mp10.0-bs40-e130,2.0,10.0,40,130,valid,336,164,167,5,-39.15,-0.12
mm2.0-mp10.0-bs40-e140,2.0,10.0,40,140,train,1771,914,836,21,1114.15,0.64
mm2.0-mp10.0-bs40-e140,2.0,10.0,40,140,valid,336,164,167,5,-149.9,-0.45
mm2.0-mp10.0-bs60-e110,2.0,10.0,60,110,train,1786,926,839,21,1216.38,0.69
mm2.0-mp10.0-bs60-e110,2.0,10.0,60,110,valid,325,161,159,5,152.16,0.48
mm2.0-mp10.0-bs60-e120,2.0,10.0,60,120,train,1737,914,802,21,3701.77,2.16
mm2.0-mp10.0-bs60-e120,2.0,10.0,60,120,valid,322,161,156,5,417.27,1.32
mm2.0-mp10.0-bs60-e130,2.0,10.0,60,130,train,1710,898,791,21,3427.61,2.03
mm2.0-mp10.0-bs60-e130,2.0,10.0,60,130,valid,317,154,158,5,-313.85,-1.01
mm2.0-mp10.0-bs60-e140,2.0,10.0,60,140,train,1696,878,797,21,1204.3,0.72
mm2.0-mp10.0-bs60-e140,2.0,10.0,60,140,valid,317,154,158,5,-424.6,-1.36
mm2.0-mp10.0-bs80-e110,2.0,10.0,80,110,train,1732,901,810,21,1758.07,1.03
mm2.0-mp10.0-bs80-e110,2.0,10.0,80,110,valid,315,158,152,5,357.87,1.15
mm2.0-mp10.0-bs80-e120,2.0,10.0,80,120,train,1683,889,773,21,4243.46,2.55
mm2.0-mp10.0-bs80-e120,2.0,10.0,80,120,valid,312,158,149,5,622.98,2.03
mm2.0-mp10.0-bs80-e130,2.0,10.0,80,130,train,1656,873,762,21,3969.3,2.43
mm2.0-mp10.0-bs80-e130,2.0,10.0,80,130,valid,307,151,151,5,-108.14,-0.36
mm2.0-mp10.0-bs80-e140,2.0,10.0,80,140,train,1642,853,768,21,1745.99,1.08
mm2.0-mp10.0-bs80-e140,2.0,10.0,80,140,valid,307,151,151,5,-218.89,-0.72
mm2.0-mp10.0-bs100-e110,2.0,10.0,100,110,train,1683,879,783,21,2120.08,1.28
mm2.0-mp10.0-bs100-e110,2.0,10.0,100,110,valid,306,154,147,5,430.21,1.43
mm2.0-mp10.0-bs100-e120,2.0,10.0,100,120,train,1634,867,746,21,4605.47,2.86
mm2.0-mp10.0-bs100-e120,2.0,10.0,100,120,valid,303,154,144,5,695.32,2.33
mm2.0-mp10.0-bs100-e130,2.0,10.0,100,130,train,1607,851,735,21,4331.31,2.73
mm2.0-mp10.0-bs100-e130,2.0,10.0,100,130,valid,298,147,146,5,-35.8,-0.12
mm2.0-mp10.0-bs100-e140,2.0,10.0,100,140,train,1593,831,741,21,2108.0,1.34
mm2.0-mp10.0-bs100-e140,2.0,10.0,100,140,valid,298,147,146,5,-146.55,-0.5
